district,hq,area,pop,division,url
Ajmer,Ajmer,8481,2584913,Ajmer,http://ajmer.rajasthan.gov.in
Alwar,Alwar,8380,3671999,Jaipur,http://alwar.rajasthan.gov.in
Banswara,Banswara,5037,1798194,Udaipur,http://banswara.rajasthan.gov.in
Baran,Baran,6955,1223921,Kota,http://baran.rajasthan.gov.in
Barmer,Barmer,28387,2604453,Jodhpur,http://barmer.rajasthan.gov.in
Bharatpur,Bharatpur,5066,2549121,Bharatpur,http://bharatpur.rajasthan.gov.in
Bhilwara,Bhilwara,10455,2410459,Ajmer,http://bhilwara.rajasthan.gov.in
Bikaner,Bikaner,28466,2367745,Bikaner,http://bikaner.rajasthan.gov.in
Bundi,Bundi,5550,1113725,Kota,http://www.bundi.rajasthan.gov.in
Chittorgarh,Chittorgarh,10856,1544392,Udaipur,http://chittorgarh.rajasthan.gov.in
Churu,Churu,16830,2041172,Bikaner,http://churu.rajasthan.gov.in
Dausa,Dausa,3432,1637226,Jaipur,http://dausa.rajasthan.gov.in
Dholpur,Dholpur,3033,1207293,Bharatpur,http://dholpur.rajasthan.gov.in
Dungarpur,Dungarpur,3770,1388906,Udaipur,http://dungarpur.rajasthan.gov.in
Hanumangarh,Hanumangarh,12645,1779650,Bikaner,http://hanumangarh.rajasthan.gov.in
Jaipur,Jaipur,14068,6663971,Jaipur,http://jaipur.rajasthan.gov.in
Jaisalmer,Jaisalmer,38401,672008,Jodhpur,http://jaisalmer.rajasthan.gov.in
Jalor,Jalore,10640,1830151,Jodhpur,http://jalore.rajasthan.gov.in
Jhalawar,Jhalawar,6219,1411327,Kota,http://jhalawar.rajasthan.gov.in
Jhunjhunu,Jhunjhunu,5928,2139658,Jaipur,http://jhunjhunu.rajasthan.gov.in
Jodhpur,Jodhpur,22850,3685681,Jodhpur,http://jodhpur.rajasthan.gov.in
Karauli,Karauli,5530,1458459,Bharatpur,http://karauli.rajasthan.gov.in
Kota,Kota,5446,1950491,Kota,http://kota.rajasthan.gov.in
Nagaur,Nagaur,17718,3309234,Ajmer,http://nagaur.rajasthan.gov.in
Pali,Pali,12387,2038533,Jodhpur,http://pali.rajasthan.gov.in
Pratapgarh[2],Pratapgarh,4117,868231,Udaipur,http://pratapgarh.rajasthan.gov.in
Rajsamand,Rajsamand,4768,1158283,Udaipur,http://rajsamand.rajasthan.gov.in
SawaiMadhopur,SawaiMadhopur,10527,1338114,Bharatpur,http://sawaimadhopur.rajasthan.gov.in
Sikar,Sikar,7732,2677737,Jaipur,http://sikar.rajasthan.gov.in
Sirohi,Sirohi,5136,1037185,Jodhpur,http://sirohi.rajasthan.gov.in
SriGanganagar,SriGanganagar,11154,1969520,Bikaner,http://sriganganagar.rajasthan.gov.in
Tonk,Tonk,7194,1421711,Ajmer,http://tonk.rajasthan.gov.in
Udaipur,Udaipur,13883,3067549,Udaipur,http://udaipur.rajasthan.gov.in
Rajasthan,Jaipur,342239,68621012,-,http://rajasthan.gov.in
